"filename", "language", "SQL", "XML", "Java Properties", "Java", "Batch", "comment", "blank", "total"
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\backup_pruebas.sql", "SQL", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\backup_pruebas.sql.sql", "SQL", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build.xml", "XML", 0, 5, 0, 0, 0, 68, 1, 74
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\built-jar.properties", "Java Properties", 0, 0, 1, 0, 0, 1, 3, 5
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_CambiarContrasena$1.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_CambiarContrasena$2.class", "Java", 0, 0, 0, 17, 0, 0, 0, 17
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_CambiarContrasena$3.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_CambiarContrasena$4.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_CambiarContrasena.class", "Java", 0, 0, 0, 84, 0, 0, 0, 84
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_Clientes$1.class", "Java", 0, 0, 0, 14, 0, 0, 0, 14
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_Clientes$10.class", "Java", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\haiber.galindo\Downloads\TesoCartera-20240615T003228Z-001\TesoCartera\build\classes\Frames\F_Clientes$11.class", "Java", 0, 0, 0, 12, 0, 0, 0, 12
